Month,StateID,State,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Median List Price Per Sqft,Median List Price Per Sqft M/M,Median List Price Per Sqft Y/Y,Median Listing Sqft,Median Listing Sqft M/M,Median Listing Sqft Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y
2018-09-01,AK,Alaska,280000,-0.0158,0.0182,4010,-0.0436,0.0103,79,0.1286,0.0822,816,-0.2444,-0.0831,56,0.1200,1.0000,1184,-0.1789,-0.1017,0,,,165,-0.0014,0.0215,1747,-0.0051,0.0059,323700,-0.0098,0.0119
2018-09-01,AL,Alabama,215000,0.0005,0.0804,27971,-0.0149,-0.0751,83,0.0506,-0.0674,6284,-0.0539,0.0842,476,0.0215,0.0868,5360,-0.0557,0.0589,41,0.0000,4.8571,102,0.0015,0.0811,1985,-0.0018,-0.0151,282800,0.0014,0.0447
2018-09-01,AR,Arkansas,182000,0.0111,0.0712,17862,-0.0045,-0.0410,82,0.0513,-0.0575,3828,-0.0650,-0.0021,124,-0.0313,0.0877,3100,-0.0414,0.0191,1418,-0.0689,-0.0887,98,0.0047,0.0480,1957,-0.0041,0.0241,247500,0.0053,0.0700
2018-09-01,AZ,Arizona,324200,0.0006,0.0810,29803,0.0194,-0.0808,52,-0.0189,-0.1186,11290,0.0190,0.0115,872,-0.0501,-0.1758,10956,0.0508,0.0535,3648,0.0044,0.2148,164,0.0040,0.0830,2046,-0.0039,-0.0020,483600,0.0023,0.0659
2018-09-01,CA,California,539900,-0.0048,0.0535,104476,0.0337,0.2075,45,0.0227,-0.0217,44488,-0.0023,0.2013,1764,-0.0526,0.0292,28046,0.0385,0.5282,27781,-0.0444,0.2571,303,-0.0039,0.0611,1812,-0.0068,-0.0141,953100,-0.0027,0.0086
2018-09-01,CO,Colorado,430000,-0.0088,-0.0115,35841,-0.0125,0.2847,53,0.0600,-0.1311,11654,-0.0554,0.0570,710,0.0441,0.1794,9378,0.0202,0.2568,3004,0.0108,-0.1131,186,-0.0022,0.0743,2323,-0.0020,-0.0676,745700,0.0000,-0.0602
2018-09-01,CT,Connecticut,349900,0.0000,0.0000,25065,-0.0076,0.0210,82,0.0933,0.0000,5484,0.1142,-0.0359,156,0.1304,-0.2200,5718,0.2140,0.0793,25,0.1905,-0.0741,179,-0.0012,0.0860,1938,-0.0021,-0.0765,712400,-0.0010,-0.0270
2018-09-01,DC,District of Columbia,599900,0.0000,0.0220,1905,0.0690,0.0253,39,-0.0488,0.1143,1284,0.8555,0.0422,34,0.0000,0.0000,478,0.2713,0.0622,3,-0.4000,,515,0.0033,0.0681,1259,0.0078,-0.0168,882200,-0.0089,0.0100
2018-09-01,DE,Delaware,298000,0.0037,0.0460,5599,-0.0053,-0.1545,89,0.0230,-0.0825,1414,-0.0394,-0.0877,162,-0.1474,0.2857,1236,-0.0112,-0.1222,2,1.0000,-0.9986,146,0.0117,0.0444,1980,-0.0013,0.0260,383800,0.0063,0.0472
2018-09-01,FL,Florida,319000,-0.0028,0.0290,150927,0.0029,0.0496,80,0.0000,-0.0588,41388,0.0204,0.6675,3330,-0.1264,0.2623,36402,0.0059,0.6961,41603,-0.0557,-0.0375,174,0.0013,0.0447,1780,-0.0056,-0.0141,597500,-0.0045,0.0030
